group_id,Solar,Wind Onshore,totalRenewable,startTime,total,percentRenewable
274,30.25,13.0,43.25,202203200900,208.25,21
275,0.0,0.0,0.0,202203201000,194.75,0
276,0.0,0.0,0.0,202203201100,190.0,0
277,0.0,0.0,0.0,202203201200,184.0,0
278,0.0,0.0,0.0,202203201300,179.0,0
279,15.75,24.75,40.5,202203201400,172.5,23
280,56.0,31.0,87.0,202203201500,166.25,52
281,29.25,27.5,56.75,202203201600,168.75,34
282,4.25,25.0,29.25,202203201700,162.25,18
283,0.0,27.25,27.25,202203201800,164.5,17
284,0.0,30.0,30.0,202203201900,163.5,18
285,0.0,28.0,28.0,202203202000,97.25,29
286,0.0,27.5,27.5,202203202100,91.75,30
287,0.0,31.5,31.5,202203202200,95.75,33
288,0.0,33.0,33.0,202203202300,93.0,35
289,0.0,31.0,31.0,202203210000,93.25,33
290,0.0,28.25,28.25,202203210100,97.75,29
291,0.0,25.75,25.75,202203210200,89.0,29
292,0.0,23.0,23.0,202203210300,100.0,23
293,0.0,18.75,18.75,202203210400,130.0,14
294,1.0,15.0,16.0,202203210500,133.25,12
295,27.0,11.0,38.0,202203210600,138.5,27
296,78.0,9.25,87.25,202203210700,142.75,61
297,130.0,6.75,136.75,202203210800,147.75,93
298,171.5,5.0,176.5,202203210900,160.75,110
299,198.0,6.0,204.0,202203211000,156.25,131
300,210.0,6.0,216.0,202203211100,141.75,152
301,207.25,6.0,213.25,202203211200,144.25,148
302,189.75,6.0,195.75,202203211300,137.25,143
303,157.5,5.0,162.5,202203211400,168.5,96
304,109.5,5.0,114.5,202203211500,184.5,62
305,51.75,4.75,56.5,202203211600,198.75,28
306,8.25,6.0,14.25,202203211700,206.25,7
307,0.0,7.0,7.0,202203211800,212.75,3
308,0.0,9.5,9.5,202203211900,198.75,5
309,0.0,12.5,12.5,202203212000,160.25,8
310,0.0,16.0,16.0,202203212100,155.25,10
311,0.0,20.5,20.5,202203212200,158.0,13
312,0.0,13.0,13.0,202203212300,163.5,8
313,0.0,13.0,13.0,202203220000,165.5,8
314,0.0,10.75,10.75,202203220100,170.75,6
315,0.0,8.25,8.25,202203220200,174.25,5
316,0.0,6.0,6.0,202203220300,170.75,4
317,0.0,5.0,5.0,202203220400,220.5,2
318,1.5,5.0,6.5,202203220500,231.5,3
319,30.5,5.0,35.5,202203220600,231.0,15
320,84.5,5.0,89.5,202203220700,228.0,39
321,138.0,4.0,142.0,202203220800,229.5,62
322,178.75,3.0,181.75,202203220900,233.5,78
323,204.5,2.0,206.5,202203221000,231.5,89
324,216.0,1.0,217.0,202203221100,228.0,95
325,212.5,1.0,213.5,202203221200,231.0,92
326,194.75,1.0,195.75,202203221300,230.0,85
327,162.0,1.0,163.0,202203221400,230.25,71
328,112.5,1.0,113.5,202203221500,232.0,49
329,53.5,3.0,56.5,202203221600,232.5,24
330,8.75,6.0,14.75,202203221700,232.5,6
331,0.0,8.0,8.0,202203221800,225.25,4
332,0.0,10.0,10.0,202203221900,221.0,5
333,0.0,10.0,10.0,202203222000,177.5,6
334,0.0,7.0,7.0,202203222100,171.0,4
335,0.0,4.0,4.0,202203222200,163.5,2
336,0.0,3.0,3.0,202203222300,152.5,2
337,0.0,2.5,2.5,202203230000,149.75,2
338,0.0,2.0,2.0,202203230100,154.75,1
339,0.0,2.0,2.0,202203230200,149.5,1
340,0.0,1.0,1.0,202203230300,152.0,1
341,0.0,1.0,1.0,202203230400,203.25,0
342,1.75,1.0,2.75,202203230500,223.75,1
343,32.25,1.0,33.25,202203230600,226.25,15
344,87.25,1.0,88.25,202203230700,220.25,40
345,140.5,1.0,141.5,202203230800,213.0,66
346,180.75,1.0,181.75,202203230900,225.5,81
347,206.0,1.0,207.0,202203231000,233.0,89
348,216.5,1.0,217.5,202203231100,232.25,94
349,212.0,1.0,213.0,202203231200,223.0,96
350,193.0,1.0,194.0,202203231300,220.0,88
351,159.75,1.0,160.75,202203231400,221.0,73
352,112.5,1.0,113.5,202203231500,220.5,51
353,54.0,1.0,55.0,202203231600,219.5,25
354,9.5,2.75,12.25,202203231700,205.75,6
355,0.0,6.0,6.0,202203231800,188.75,3
356,0.0,11.0,11.0,202203231900,177.5,6
357,0.0,14.75,14.75,202203232000,106.5,14
358,0.0,14.0,14.0,202203232100,85.25,16
359,0.0,10.5,10.5,202203232200,80.5,13
360,0.0,10.0,10.0,202203232300,76.5,13
361,0.0,8.25,8.25,202203240000,70.5,12
362,0.0,6.25,6.25,202203240100,66.75,9
363,0.0,4.5,4.5,202203240200,64.0,7
364,0.0,4.0,4.0,202203240300,67.25,6
365,0.0,3.0,3.0,202203240400,117.75,3
366,2.25,3.0,5.25,202203240500,133.0,4
367,33.5,3.0,36.5,202203240600,148.25,25
368,89.25,3.0,92.25,202203240700,142.75,65
369,142.5,2.0,144.5,202203240800,152.0,95
370,182.5,2.0,184.5,202203240900,159.75,115
371,208.0,1.75,209.75,202203241000,159.0,132
372,218.0,1.0,219.0,202203241100,151.75,144
373,214.5,1.0,215.5,202203241200,147.75,146
374,196.5,1.0,197.5,202203241300,143.5,138
375,164.5,2.0,166.5,202203241400,158.25,105
376,115.5,2.25,117.75,202203241500,182.25,65
377,56.0,5.0,61.0,202203241600,195.25,31
378,10.5,12.0,22.5,202203241700,214.75,10
379,0.0,21.0,21.0,202203241800,222.25,9
380,0.0,26.0,26.0,202203241900,212.5,12
381,0.0,28.0,28.0,202203242000,173.25,16
382,0.0,27.25,27.25,202203242100,176.75,15
383,0.0,26.0,26.0,202203242200,180.5,14
384,0.0,25.5,25.5,202203242300,166.5,15
385,0.0,24.0,24.0,202203250000,142.75,17
386,0.0,25.0,25.0,202203250100,138.75,18
387,0.0,27.0,27.0,202203250200,132.25,20
388,0.0,30.25,30.25,202203250300,125.0,24
389,0.0,34.25,34.25,202203250400,157.5,22
390,2.5,37.75,40.25,202203250500,171.0,24
391,35.75,36.5,72.25,202203250600,178.5,40
392,91.75,31.0,122.75,202203250700,175.5,70
393,145.5,20.5,166.0,202203250800,169.0,98
394,185.5,15.0,200.5,202203250900,172.0,117
395,210.0,15.25,225.25,202203251000,170.0,132
396,220.0,13.25,233.25,202203251100,169.75,137
397,216.0,12.0,228.0,202203251200,159.5,143
398,198.0,11.0,209.0,202203251300,175.5,119
399,164.5,11.0,175.5,202203251400,176.75,99
400,115.75,13.0,128.75,202203251500,184.5,70
401,57.0,17.5,74.5,202203251600,210.0,35
402,11.0,26.5,37.5,202203251700,215.25,17
403,0.0,38.25,38.25,202203251800,208.0,18
404,0.0,49.0,49.0,202203251900,213.0,23
405,0.0,56.25,56.25,202203252000,159.75,35
406,0.0,59.75,59.75,202203252100,155.25,38
407,0.0,56.5,56.5,202203252200,146.5,39
408,0.0,61.5,61.5,202203252300,149.5,41
409,0.0,57.75,57.75,202203260000,153.75,38
410,0.0,52.0,52.0,202203260100,135.25,38
411,0.0,47.5,47.5,202203260200,125.75,38
412,0.0,44.0,44.0,202203260300,124.0,35
413,0.0,45.0,45.0,202203260400,146.0,31
414,3.25,50.25,53.5,202203260500,146.75,36
415,37.25,53.25,90.5,202203260600,141.5,64
416,94.5,46.0,140.5,202203260700,145.0,97
417,148.5,36.0,184.5,202203260800,148.5,124
418,188.75,30.25,219.0,202203260900,150.25,146
419,213.5,33.0,246.5,202203261000,142.0,174
420,222.75,33.0,255.75,202203261100,137.0,187
421,218.5,31.0,249.5,202203261200,135.0,185
422,200.5,30.0,230.5,202203261300,132.25,174
423,168.0,31.0,199.0,202203261400,129.0,154
424,119.0,33.25,152.25,202203261500,135.25,113
425,58.75,35.25,94.0,202203261600,154.75,61
426,11.75,38.75,50.5,202203261700,164.25,31
427,0.0,46.0,46.0,202203261800,159.25,29
428,0.0,54.75,54.75,202203261900,157.25,35
429,0.0,61.0,61.0,202203262000,109.75,56
430,0.0,61.0,61.0,202203262100,103.0,59
431,0.0,58.0,58.0,202203262200,107.0,54
432,0.0,53.75,53.75,202203262300,102.25,53
433,0.0,48.75,48.75,202203270000,99.75,49
434,0.0,0.0,0.0,202203270100,97.75,0
435,0.0,44.5,44.5,202203270200,94.0,47
436,0.0,43.0,43.0,202203270300,95.75,45
437,0.0,41.0,41.0,202203270400,131.5,31
438,0.0,37.75,37.75,202203270500,133.5,28
439,3.25,32.75,36.0,202203270600,131.75,27
440,38.0,26.5,64.5,202203270700,137.75,47
441,94.5,19.75,114.25,202203270800,139.5,82
442,148.75,12.5,161.25,202203270900,137.5,117
443,189.5,7.0,196.5,202203271000,137.25,143
444,213.5,7.0,220.5,202203271100,139.25,158
445,222.75,6.0,228.75,202203271200,135.25,169
446,218.25,6.0,224.25,202203271300,130.0,172
447,200.0,5.0,205.0,202203271400,134.0,153
448,168.5,5.0,173.5,202203271500,138.75,125
449,119.5,5.0,124.5,202203271600,156.0,80
450,60.5,5.0,65.5,202203271700,152.75,43
451,12.75,7.0,19.75,202203271800,139.5,14
452,0.0,10.5,10.5,202203271900,145.25,7
453,0.0,13.0,13.0,202203272000,105.75,12
454,0.0,12.5,12.5,202203272100,102.25,12
455,0.0,6.5,6.5,202203272200,106.0,6
456,0.0,5.0,5.0,202203272300,105.75,5
457,0.0,3.5,3.5,202203280000,111.75,3
458,0.0,2.25,2.25,202203280100,113.75,2
459,0.0,1.25,1.25,202203280200,103.5,1
460,0.0,1.0,1.0,202203280300,109.0,1
461,0.0,1.0,1.0,202203280400,144.75,1
462,3.75,1.0,4.75,202203280500,153.75,3
463,38.75,1.0,39.75,202203280600,154.5,26
464,94.25,1.0,95.25,202203280700,154.0,62
465,146.75,1.0,147.75,202203280800,155.0,95
466,184.5,1.5,186.0,202203280900,149.25,125
467,204.75,2.0,206.75,202203281000,120.25,172
468,208.25,2.0,210.25,202203281100,128.5,164
469,201.5,3.0,204.5,202203281200,129.5,158
470,181.0,3.0,184.0,202203281300,135.5,136
471,146.25,4.0,150.25,202203281400,144.75,104
472,101.75,4.0,105.75,202203281500,149.5,71
473,51.75,5.0,56.75,202203281600,157.25,36
474,11.0,6.0,17.0,202203281700,160.75,11
475,0.0,5.5,5.5,202203281800,157.25,3
476,0.0,4.0,4.0,202203281900,154.0,3
477,0.0,3.0,3.0,202203282000,100.0,3
478,0.0,2.5,2.5,202203282100,96.0,3
479,0.0,3.0,3.0,202203282200,104.5,3
480,0.0,2.0,2.0,202203282300,111.5,2
481,0.0,2.0,2.0,202203290000,115.0,2
482,0.0,2.0,2.0,202203290100,112.25,2
483,0.0,2.0,2.0,202203290200,117.25,2
484,0.0,2.5,2.5,202203290300,113.25,2
485,0.0,3.25,3.25,202203290400,146.25,2
486,1.75,4.75,6.5,202203290500,159.0,4
487,15.5,6.75,22.25,202203290600,161.0,14
488,36.5,8.75,45.25,202203290700,151.0,30
489,63.5,10.0,73.5,202203290800,142.5,52
490,80.25,8.0,88.25,202203290900,136.25,65
491,87.75,6.0,93.75,202203291000,109.0,86
492,87.25,5.0,92.25,202203291100,109.0,85
493,83.25,4.0,87.25,202203291200,108.5,80
494,76.0,2.0,78.0,202203291300,103.0,76
495,61.75,2.0,63.75,202203291400,97.25,66
496,48.5,2.0,50.5,202203291500,107.25,47
497,26.25,2.0,28.25,202203291600,111.5,25
498,6.25,3.0,9.25,202203291700,120.25,8
499,0.0,4.0,4.0,202203291800,108.0,4
500,0.0,4.0,4.0,202203291900,106.5,4
501,0.0,5.75,5.75,202203292000,74.25,8
502,0.0,6.0,6.0,202203292100,76.0,8
503,0.0,7.0,7.0,202203292200,75.25,9
504,0.0,5.0,5.0,202203292300,67.0,7
505,0.0,4.0,4.0,202203300000,63.75,6
506,0.0,4.0,4.0,202203300100,73.25,5
507,0.0,4.0,4.0,202203300200,85.25,5
508,0.0,6.75,6.75,202203300300,80.5,8
509,0.0,11.75,11.75,202203300400,123.5,10
510,0.75,15.75,16.5,202203300500,139.25,12
511,6.0,17.0,23.0,202203300600,134.25,17
512,15.5,15.5,31.0,202203300700,140.25,22
513,27.25,15.0,42.25,202203300800,147.0,29
514,34.25,16.0,50.25,202203300900,147.75,34
515,42.75,17.0,59.75,202203301000,139.0,43
516,48.75,16.0,64.75,202203301100,134.75,48
517,56.25,15.0,71.25,202203301200,133.0,54
518,58.0,15.0,73.0,202203301300,133.0,55
519,51.25,16.0,67.25,202203301400,133.0,51
520,43.75,17.5,61.25,202203301500,154.5,40
521,29.5,21.5,51.0,202203301600,166.25,31
522,7.0,26.25,33.25,202203301700,163.25,20
523,0.0,30.0,30.0,202203301800,148.75,20
524,0.0,33.0,33.0,202203301900,148.5,22
525,0.0,35.25,35.25,202203302000,100.0,35
526,0.0,35.25,35.25,202203302100,96.5,37
527,0.0,16.25,16.25,202203302200,93.0,17
528,0.0,13.25,13.25,202203302300,98.5,13
529,0.0,11.0,11.0,202203310000,90.0,12
530,0.0,8.5,8.5,202203310100,83.25,10
531,0.0,8.0,8.0,202203310200,77.75,10
532,0.0,9.0,9.0,202203310300,73.5,12
533,0.0,10.0,10.0,202203310400,108.75,9
534,2.0,11.0,13.0,202203310500,117.25,11
535,13.5,11.0,24.5,202203310600,136.0,18
536,25.0,9.0,34.0,202203310700,130.0,26
537,30.75,8.0,38.75,202203310800,129.75,30
538,39.0,7.0,46.0,202203310900,133.75,34
539,46.0,7.0,53.0,202203311000,127.5,42
540,45.25,8.5,53.75,202203311100,128.25,42
541,43.0,15.75,58.75,202203311200,126.25,47
542,35.25,29.5,64.75,202203311300,121.25,53
543,27.0,41.0,68.0,202203311400,116.5,58
544,19.0,46.0,65.0,202203311500,129.0,50
545,10.25,46.5,56.75,202203311600,133.5,43
546,2.75,45.25,48.0,202203311700,132.75,36
547,0.0,41.25,41.25,202203311800,125.75,33
548,0.0,35.0,35.0,202203311900,125.25,28
549,0.0,28.5,28.5,202203312000,61.25,47
550,0.0,26.0,26.0,202203312100,47.25,55
551,0.0,14.5,14.5,202203312200,45.0,32
552,0.0,13.0,13.0,202203312300,54.0,24
553,0.0,13.0,13.0,202204010000,58.25,22
