,Wind Onshore,startTime,totalRenewable,total,percentRenewable
391,1.0,202109040500,1.0,266.0,0
392,1.0,202109040600,1.0,267.0,0
393,0.0,202109040700,0.0,262.0,0
394,0.0,202109040800,0.0,262.0,0
395,0.0,202109040900,0.0,261.0,0
396,0.0,202109041000,0.0,254.0,0
397,0.0,202109041100,0.0,253.0,0
398,0.0,202109041200,0.0,253.0,0
399,0.0,202109041300,0.0,252.0,0
400,1.0,202109041400,1.0,251.0,0
401,3.0,202109041500,3.0,250.0,1
402,8.0,202109041600,8.0,266.0,3
403,14.0,202109041700,14.0,273.0,5
404,17.0,202109041800,17.0,279.0,6
405,17.0,202109041900,17.0,285.0,6
406,16.0,202109042000,16.0,285.0,6
407,15.0,202109042100,15.0,269.0,6
408,14.0,202109042200,14.0,269.0,5
409,11.0,202109042300,11.0,268.0,4
410,10.0,202109050000,10.0,267.0,4
411,9.0,202109050100,9.0,267.0,3
412,9.0,202109050200,9.0,266.0,3
413,9.0,202109050300,9.0,265.0,3
414,9.0,202109050400,9.0,281.0,3
415,9.0,202109050500,9.0,276.0,3
416,7.0,202109050600,7.0,276.0,3
417,5.0,202109050700,5.0,256.0,2
418,3.0,202109050800,3.0,257.0,1
419,2.0,202109050900,2.0,258.0,1
420,2.0,202109051000,2.0,253.0,1
421,3.0,202109051100,3.0,252.0,1
422,5.0,202109051200,5.0,253.0,2
423,8.0,202109051300,8.0,253.0,3
424,11.0,202109051400,11.0,270.0,4
425,12.0,202109051500,12.0,270.0,4
426,11.0,202109051600,11.0,268.0,4
427,12.0,202109051700,12.0,273.0,4
428,13.0,202109051800,13.0,278.0,5
429,13.0,202109051900,13.0,283.0,5
430,12.0,202109052000,12.0,283.0,4
431,12.0,202109052100,12.0,267.0,4
432,13.0,202109052200,13.0,380.0,3
433,13.0,202109052300,13.0,380.0,3
434,13.0,202109060000,13.0,380.0,3
435,13.0,202109060100,13.0,379.0,3
436,13.0,202109060200,13.0,377.0,3
437,13.0,202109060300,13.0,377.0,3
438,13.0,202109060400,13.0,395.0,3
439,12.0,202109060500,12.0,391.0,3
440,9.0,202109060600,9.0,393.0,2
441,8.0,202109060700,8.0,375.0,2
442,8.0,202109060800,8.0,377.0,2
443,8.0,202109060900,8.0,378.0,2
444,9.0,202109061000,9.0,374.0,2
445,9.0,202109061100,9.0,373.0,2
446,11.0,202109061200,11.0,373.0,3
447,13.0,202109061300,13.0,374.0,3
448,16.0,202109061400,16.0,390.0,4
449,19.0,202109061500,19.0,391.0,5
450,20.0,202109061600,20.0,393.0,5
451,20.0,202109061700,20.0,400.0,5
452,19.0,202109061800,19.0,406.0,5
453,16.0,202109061900,16.0,410.0,4
454,15.0,202109062000,15.0,406.0,4
455,14.0,202109062100,14.0,389.0,4
456,8.0,202109062200,8.0,395.0,2
457,8.0,202109062300,8.0,394.0,2
458,8.0,202109070000,8.0,395.0,2
459,8.0,202109070100,8.0,393.0,2
460,9.0,202109070200,9.0,393.0,2
461,10.0,202109070300,10.0,391.0,3
462,10.0,202109070400,10.0,406.0,2
463,7.0,202109070500,7.0,404.0,2
464,5.0,202109070600,5.0,406.0,1
465,4.0,202109070700,4.0,393.0,1
466,3.0,202109070800,3.0,393.0,1
467,3.0,202109070900,3.0,393.0,1
468,4.0,202109071000,4.0,393.0,1
469,4.0,202109071100,4.0,394.0,1
470,5.0,202109071200,5.0,394.0,1
471,7.0,202109071300,7.0,394.0,2
472,9.0,202109071400,9.0,410.0,2
