,Solar,startTime,totalRenewable,total,percentRenewable
279,1.0,202001121500,1.0,1535.0,0
280,0.0,202001121600,0.0,1655.0,0
281,0.0,202001121700,0.0,1704.0,0
282,0.0,202001121800,0.0,1742.0,0
283,0.0,202001121900,0.0,1665.0,0
284,0.0,202001122000,0.0,1565.0,0
285,0.0,202001122100,0.0,1467.0,0
286,0.0,202001122200,0.0,1307.0,0
287,0.0,202001122300,0.0,1219.0,0
288,0.0,202001130000,0.0,1204.0,0
289,0.0,202001130100,0.0,1201.0,0
290,0.0,202001130200,0.0,1203.0,0
291,0.0,202001130300,0.0,1210.0,0
292,0.0,202001130400,0.0,1212.0,0
293,0.0,202001130500,0.0,1298.0,0
294,0.0,202001130600,0.0,1483.0,0
295,10.0,202001130700,10.0,1656.0,1
296,35.0,202001130800,35.0,1796.0,2
297,58.0,202001130900,58.0,1734.0,3
298,73.0,202001131000,73.0,1648.0,4
299,64.0,202001131100,64.0,1560.0,4
300,66.0,202001131200,66.0,1559.0,4
301,41.0,202001131300,41.0,1665.0,2
302,16.0,202001131400,16.0,1757.0,1
303,1.0,202001131500,1.0,1869.0,0
304,0.0,202001131600,0.0,1753.0,0
305,0.0,202001131700,0.0,1673.0,0
306,0.0,202001131800,0.0,1689.0,0
307,0.0,202001131900,0.0,1580.0,0
308,0.0,202001132000,0.0,1394.0,0
309,0.0,202001132100,0.0,1450.0,0
310,0.0,202001132200,0.0,1269.0,0
311,0.0,202001132300,0.0,1193.0,0
312,0.0,202001140000,0.0,1233.0,0
313,0.0,202001140100,0.0,1184.0,0
314,0.0,202001140200,0.0,1161.0,0
315,0.0,202001140300,0.0,1195.0,0
316,0.0,202001140400,0.0,1253.0,0
317,0.0,202001140500,0.0,1715.0,0
318,0.0,202001140600,0.0,1773.0,0
319,12.0,202001140700,12.0,1937.0,1
320,42.0,202001140800,42.0,1883.0,2
321,66.0,202001140900,66.0,1634.0,4
322,82.0,202001141000,82.0,1700.0,5
323,73.0,202001141100,73.0,1699.0,4
324,71.0,202001141200,71.0,1631.0,4
325,45.0,202001141300,45.0,1477.0,3
326,18.0,202001141400,18.0,1668.0,1
327,1.0,202001141500,1.0,1788.0,0
328,0.0,202001141600,0.0,1774.0,0
329,0.0,202001141700,0.0,1678.0,0
330,0.0,202001141800,0.0,1553.0,0
331,0.0,202001141900,0.0,1557.0,0
332,0.0,202001142000,0.0,1538.0,0
333,0.0,202001142100,0.0,1543.0,0
334,0.0,202001142200,0.0,1364.0,0
335,0.0,202001142300,0.0,1362.0,0
336,0.0,202001150000,0.0,1257.0,0
337,0.0,202001150100,0.0,1169.0,0
338,0.0,202001150200,0.0,1169.0,0
339,0.0,202001150300,0.0,1204.0,0
340,0.0,202001150400,0.0,1428.0,0
341,0.0,202001150500,0.0,1551.0,0
342,0.0,202001150600,0.0,1912.0,0
343,12.0,202001150700,12.0,2031.0,1
344,42.0,202001150800,42.0,1869.0,2
345,67.0,202001150900,67.0,1784.0,4
346,83.0,202001151000,83.0,1796.0,5
347,83.0,202001151100,83.0,1905.0,4
348,71.0,202001151200,71.0,1862.0,4
349,46.0,202001151300,46.0,1869.0,2
350,18.0,202001151400,18.0,1873.0,1
351,1.0,202001151500,1.0,1927.0,0
352,0.0,202001151600,0.0,1873.0,0
353,0.0,202001151700,0.0,1769.0,0
354,0.0,202001151800,0.0,1869.0,0
355,0.0,202001151900,0.0,1719.0,0
356,0.0,202001152000,0.0,1695.0,0
357,0.0,202001152100,0.0,1501.0,0
358,0.0,202001152200,0.0,1264.0,0
359,0.0,202001152300,0.0,1195.0,0
360,0.0,202001160000,0.0,1196.0,0
361,0.0,202001160100,0.0,1202.0,0
362,0.0,202001160200,0.0,1201.0,0
363,0.0,202001160300,0.0,1204.0,0
364,0.0,202001160400,0.0,1228.0,0
365,0.0,202001160500,0.0,1480.0,0
366,0.0,202001160600,0.0,1723.0,0
367,11.0,202001160700,11.0,1810.0,1
368,38.0,202001160800,38.0,1690.0,2
369,63.0,202001160900,63.0,1789.0,4
370,79.0,202001161000,79.0,1797.0,4
371,78.0,202001161100,78.0,1665.0,5
372,69.0,202001161200,69.0,1626.0,4
373,44.0,202001161300,44.0,1526.0,3
374,19.0,202001161400,19.0,1718.0,1
375,2.0,202001161500,2.0,1722.0,0
376,0.0,202001161600,0.0,1633.0,0
377,0.0,202001161700,0.0,1658.0,0
378,0.0,202001161800,0.0,1616.0,0
379,0.0,202001161900,0.0,1465.0,0
380,0.0,202001162000,0.0,1356.0,0
381,0.0,202001162100,0.0,1376.0,0
382,0.0,202001162200,0.0,1220.0,0
