,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
131,,348.0,,1342.0,17415.0,18.0,,,910.0,202001061100,202001061200,19667.0,910.0,366.0,20033.0,98,5
132,,351.0,,1338.0,17364.0,18.0,,,919.0,202001061200,202001061300,19621.0,919.0,369.0,19990.0,98,5
133,,348.0,,1334.0,17448.0,19.0,,,1037.0,202001061300,202001061400,19819.0,1037.0,367.0,20186.0,98,5
134,,348.0,,1340.0,17994.0,20.0,,,1102.0,202001061400,202001061500,20436.0,1102.0,368.0,20804.0,98,5
135,,351.0,,1335.0,18726.0,20.0,,,1091.0,202001061500,202001061600,21152.0,1091.0,371.0,21523.0,98,5
136,,350.0,,1366.0,18706.0,24.0,,,1138.0,202001061600,202001061700,21210.0,1138.0,374.0,21584.0,98,5
137,,347.0,,1368.0,18088.0,24.0,,,1224.0,202001061700,202001061800,20680.0,1224.0,371.0,21051.0,98,6
138,,348.0,,1402.0,17253.0,27.0,,,1198.0,202001061800,202001061900,19853.0,1198.0,375.0,20228.0,98,6
139,,347.0,,1404.0,16201.0,27.0,,,1124.0,202001061900,202001062000,18729.0,1124.0,374.0,19103.0,98,6
140,,348.0,,1405.0,15561.0,28.0,,,1120.0,202001062000,202001062100,18086.0,1120.0,376.0,18462.0,98,6
141,,345.0,,1399.0,14432.0,29.0,,,1085.0,202001062100,202001062200,16916.0,1085.0,374.0,17290.0,98,6
142,,347.0,,1395.0,13030.0,32.0,,,1095.0,202001062200,202001062300,15520.0,1095.0,379.0,15899.0,98,7
143,,338.0,,1441.0,11518.0,34.0,,,1095.0,202001062300,202001070000,14054.0,1095.0,372.0,14426.0,97,8
144,,332.0,,1443.0,11024.0,34.0,,,1063.0,202001070000,202001070100,13530.0,1063.0,366.0,13896.0,97,8
145,,337.0,,1446.0,10898.0,35.0,,,1090.0,202001070100,202001070200,13434.0,1090.0,372.0,13806.0,97,8
146,,337.0,,1445.0,10668.0,37.0,,,1125.0,202001070200,202001070300,13238.0,1125.0,374.0,13612.0,97,8
147,,333.0,,1443.0,11183.0,36.0,,,1171.0,202001070300,202001070400,13797.0,1171.0,369.0,14166.0,97,8
148,,335.0,,1441.0,12979.0,36.0,,,1294.0,202001070400,202001070500,15714.0,1294.0,371.0,16085.0,98,8
149,,337.0,,1441.0,14910.0,36.0,,,1340.0,202001070500,202001070600,17691.0,1340.0,373.0,18064.0,98,7
150,,336.0,,1441.0,17233.0,36.0,,,1282.0,202001070600,202001070700,19956.0,1282.0,372.0,20328.0,98,6
151,,336.0,,1447.0,18036.0,36.0,,,1198.0,202001070700,202001070800,20681.0,1198.0,372.0,21053.0,98,6
152,,326.0,,1446.0,17978.0,31.0,,,1096.0,202001070800,202001070900,20520.0,1096.0,357.0,20877.0,98,5
153,,335.0,,1453.0,18037.0,29.0,,,1225.0,202001070900,202001071000,20715.0,1225.0,364.0,21079.0,98,6
