,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS,Wind_per,Solar_per,Nuclear_per,Hydroelectricity_per,Geothermal_per,Natural Gas_per,Petroleum_per,Coal_per
5788,43.0,193.0,0.0,53.0,20.0,202008290400,202008290500,63.0,20.0,246.0,309.0,20,6,6,0,0,0,0,62,0,0
5789,44.0,196.0,0.0,53.0,22.0,202008290500,202008290600,66.0,22.0,249.0,315.0,21,7,6,0,0,0,0,62,0,0
5790,44.0,199.0,0.0,54.0,23.0,202008290600,202008290700,67.0,23.0,253.0,320.0,21,7,7,0,0,0,0,62,0,0
5791,45.0,194.0,0.0,55.0,17.0,202008290700,202008290800,62.0,17.0,249.0,311.0,20,5,5,0,0,0,0,62,0,0
5792,45.0,192.0,0.0,55.0,24.0,202008290800,202008290900,69.0,24.0,247.0,316.0,22,8,7,0,0,0,0,60,0,0
5793,45.0,190.0,0.0,56.0,24.0,202008290900,202008291000,69.0,24.0,246.0,315.0,22,8,7,0,0,0,0,60,0,0
5794,45.0,187.0,0.0,55.0,26.0,202008291000,202008291100,71.0,26.0,242.0,313.0,23,8,8,0,0,0,0,59,0,0
5795,45.0,183.0,0.0,55.0,21.0,202008291100,202008291200,66.0,21.0,238.0,304.0,22,7,6,0,0,0,0,60,0,0
5796,45.0,184.0,0.0,55.0,24.0,202008291200,202008291300,69.0,24.0,239.0,308.0,22,8,7,0,0,0,0,59,0,0
5797,45.0,182.0,0.0,55.0,19.0,202008291300,202008291400,64.0,19.0,237.0,301.0,21,6,6,0,0,0,0,60,0,0
5798,45.0,184.0,0.0,55.0,15.0,202008291400,202008291500,60.0,15.0,239.0,299.0,20,5,5,0,0,0,0,61,0,0
5799,45.0,183.0,0.0,56.0,7.0,202008291500,202008291600,52.0,7.0,239.0,291.0,18,2,2,0,0,0,0,62,0,0
5800,45.0,182.0,0.0,56.0,7.0,202008291600,202008291700,52.0,7.0,238.0,290.0,18,2,2,0,0,0,0,62,0,0
5801,46.0,182.0,0.0,56.0,9.0,202008291700,202008291800,55.0,9.0,238.0,293.0,19,3,3,0,0,0,0,62,0,0
5802,45.0,182.0,0.0,56.0,12.0,202008291800,202008291900,57.0,12.0,238.0,295.0,19,4,4,0,0,0,0,61,0,0
5803,46.0,182.0,0.0,56.0,12.0,202008291900,202008292000,58.0,12.0,238.0,296.0,20,4,4,0,0,0,0,61,0,0
5804,45.0,184.0,0.0,56.0,12.0,202008292000,202008292100,57.0,12.0,240.0,297.0,19,4,4,0,0,0,0,61,0,0
5805,45.0,112.0,46.0,55.0,17.0,202008292100,202008292200,108.0,17.0,167.0,275.0,39,6,6,0,0,16,0,40,0,0
5806,45.0,41.0,0.0,54.0,21.0,202008292200,202008292300,66.0,21.0,95.0,161.0,41,13,13,0,0,0,0,25,0,0
5807,45.0,42.0,0.0,54.0,22.0,202008292300,202008300000,67.0,22.0,96.0,163.0,41,13,13,0,0,0,0,25,0,0
5808,44.0,42.0,0.0,54.0,25.0,202008300000,202008300100,69.0,25.0,96.0,165.0,42,15,15,0,0,0,0,25,0,0
5809,44.0,42.0,0.0,54.0,24.0,202008300100,202008300200,68.0,24.0,96.0,164.0,41,15,14,0,0,0,0,25,0,0
5810,44.0,42.0,0.0,54.0,24.0,202008300200,202008300300,68.0,24.0,96.0,164.0,41,15,14,0,0,0,0,25,0,0
5811,44.0,41.0,0.0,54.0,29.0,202008300300,202008300400,73.0,29.0,95.0,168.0,43,17,17,0,0,0,0,24,0,0
5812,45.0,42.0,0.0,54.0,29.0,202008300400,202008300500,74.0,29.0,96.0,170.0,44,17,17,0,0,0,0,24,0,0
5813,45.0,42.0,0.0,55.0,28.0,202008300500,202008300600,73.0,28.0,97.0,170.0,43,16,16,0,0,0,0,24,0,0
5814,45.0,50.0,0.0,56.0,25.0,202008300600,202008300700,70.0,25.0,106.0,176.0,40,14,14,0,0,0,0,28,0,0
5815,46.0,51.0,0.0,56.0,23.0,202008300700,202008300800,69.0,23.0,107.0,176.0,39,13,13,0,0,0,0,28,0,0
5816,46.0,51.0,0.0,56.0,19.0,202008300800,202008300900,65.0,19.0,107.0,172.0,38,11,11,0,0,0,0,29,0,0
5817,46.0,49.0,0.0,56.0,16.0,202008300900,202008301000,62.0,16.0,105.0,167.0,37,10,9,0,0,0,0,29,0,0
5818,46.0,46.0,0.0,56.0,16.0,202008301000,202008301100,62.0,16.0,102.0,164.0,38,10,9,0,0,0,0,28,0,0
5819,46.0,42.0,0.0,56.0,15.0,202008301100,202008301200,61.0,15.0,98.0,159.0,38,9,9,0,0,0,0,26,0,0
5820,47.0,42.0,0.0,58.0,13.0,202008301200,202008301300,60.0,13.0,100.0,160.0,38,8,8,0,0,0,0,26,0,0
5821,47.0,42.0,0.0,58.0,8.0,202008301300,202008301400,55.0,8.0,100.0,155.0,35,5,5,0,0,0,0,27,0,0
5822,47.0,42.0,0.0,58.0,4.0,202008301400,202008301500,51.0,4.0,100.0,151.0,34,3,2,0,0,0,0,27,0,0
5823,47.0,42.0,0.0,58.0,1.0,202008301500,202008301600,48.0,1.0,100.0,148.0,32,1,0,0,0,0,0,28,0,0
5824,47.0,44.0,0.0,58.0,0.0,202008301600,202008301700,47.0,0.0,102.0,149.0,32,0,0,0,0,0,0,29,0,0
5825,47.0,53.0,0.0,58.0,0.0,202008301700,202008301800,47.0,0.0,111.0,158.0,30,0,0,0,0,0,0,33,0,0
5826,47.0,56.0,0.0,57.0,0.0,202008301800,202008301900,47.0,0.0,113.0,160.0,29,0,0,0,0,0,0,35,0,0
5827,47.0,55.0,0.0,57.0,0.0,202008301900,202008302000,47.0,0.0,112.0,159.0,30,0,0,0,0,0,0,34,0,0
5828,46.0,47.0,0.0,57.0,0.0,202008302000,202008302100,46.0,0.0,104.0,150.0,31,0,0,0,0,0,0,31,0,0
5829,46.0,41.0,0.0,56.0,0.0,202008302100,202008302200,46.0,0.0,97.0,143.0,32,0,0,0,0,0,0,28,0,0
5830,45.0,32.0,0.0,56.0,0.0,202008302200,202008302300,45.0,0.0,88.0,133.0,34,0,0,0,0,0,0,24,0,0
5831,46.0,33.0,0.0,56.0,0.0,202008302300,202008310000,46.0,0.0,89.0,135.0,34,0,0,0,0,0,0,24,0,0
5832,45.0,33.0,0.0,56.0,0.0,202008310000,202008310100,45.0,0.0,89.0,134.0,34,0,0,0,0,0,0,24,0,0
5833,45.0,36.0,0.0,56.0,1.0,202008310100,202008310200,46.0,1.0,92.0,138.0,33,1,0,0,0,0,0,26,0,0
5834,46.0,64.0,0.0,56.0,1.0,202008310200,202008310300,47.0,1.0,120.0,167.0,28,1,0,0,0,0,0,38,0,0
5835,46.0,125.0,0.0,57.0,2.0,202008310300,202008310400,48.0,2.0,182.0,230.0,21,1,0,0,0,0,0,54,0,0
5836,46.0,206.0,0.0,57.0,3.0,202008310400,202008310500,49.0,3.0,263.0,312.0,16,1,0,0,0,0,0,66,0,0
5837,47.0,318.0,250.0,57.0,3.0,202008310500,202008310600,300.0,3.0,375.0,675.0,44,0,0,0,0,37,0,47,0,0
5838,47.0,437.0,342.0,58.0,2.0,202008310600,202008310700,391.0,2.0,495.0,886.0,44,0,0,0,0,38,0,49,0,0
5839,47.0,434.0,320.0,58.0,1.0,202008310700,202008310800,368.0,1.0,492.0,860.0,43,0,0,0,0,37,0,50,0,0
5840,48.0,433.0,241.0,58.0,1.0,202008310800,202008310900,290.0,1.0,491.0,781.0,37,0,0,0,0,30,0,55,0,0
5841,48.0,432.0,234.0,58.0,1.0,202008310900,202008311000,283.0,1.0,490.0,773.0,37,0,0,0,0,30,0,55,0,0
5842,48.0,434.0,233.0,58.0,4.0,202008311000,202008311100,285.0,4.0,492.0,777.0,37,1,0,0,0,29,0,55,0,0
5843,47.0,433.0,143.0,58.0,4.0,202008311100,202008311200,194.0,4.0,491.0,685.0,28,1,0,0,0,20,0,63,0,0
5844,48.0,433.0,56.0,58.0,8.0,202008311200,202008311300,112.0,8.0,491.0,603.0,19,1,1,0,0,9,0,71,0,0
5845,48.0,432.0,3.0,58.0,15.0,202008311300,202008311400,66.0,15.0,490.0,556.0,12,3,2,0,0,0,0,77,0,0
5846,48.0,432.0,0.0,58.0,19.0,202008311400,202008311500,67.0,19.0,490.0,557.0,12,3,3,0,0,0,0,77,0,0
5847,48.0,432.0,273.0,58.0,17.0,202008311500,202008311600,338.0,17.0,490.0,828.0,41,2,2,0,0,32,0,52,0,0
5848,48.0,432.0,421.0,58.0,12.0,202008311600,202008311700,481.0,12.0,490.0,971.0,50,1,1,0,0,43,0,44,0,0
5849,48.0,433.0,581.0,58.0,11.0,202008311700,202008311800,640.0,11.0,491.0,1131.0,57,1,0,0,0,51,0,38,0,0
5850,48.0,429.0,263.0,58.0,11.0,202008311800,202008311900,322.0,11.0,487.0,809.0,40,1,1,0,0,32,0,53,0,0
5851,48.0,334.0,26.0,59.0,8.0,202008311900,202008312000,82.0,8.0,393.0,475.0,17,2,1,0,0,5,0,70,0,0
5852,47.0,329.0,1.0,57.0,3.0,202008312000,202008312100,51.0,3.0,386.0,437.0,12,1,0,0,0,0,0,75,0,0
5853,46.0,275.0,49.0,57.0,2.0,202008312100,202008312200,97.0,2.0,332.0,429.0,23,0,0,0,0,11,0,64,0,0
5854,46.0,193.0,0.0,57.0,3.0,202008312200,202008312300,49.0,3.0,250.0,299.0,16,1,1,0,0,0,0,64,0,0
5855,48.0,192.0,0.0,58.0,2.0,202008312300,202009010000,50.0,2.0,250.0,300.0,17,1,0,0,0,0,0,64,0,0
5856,47.0,192.0,0.0,57.0,1.0,202009010000,202009010100,48.0,1.0,249.0,297.0,16,0,0,0,0,0,0,64,0,0
5857,47.0,193.0,0.0,57.0,0.0,202009010100,202009010200,47.0,0.0,250.0,297.0,16,0,0,0,0,0,0,64,0,0
5858,48.0,194.0,0.0,58.0,0.0,202009010200,202009010300,48.0,0.0,252.0,300.0,16,0,0,0,0,0,0,64,0,0
5859,49.0,207.0,1.0,59.0,0.0,202009010300,202009010400,50.0,0.0,266.0,316.0,16,0,0,0,0,0,0,65,0,0
5860,47.0,319.0,123.0,57.0,0.0,202009010400,202009010500,170.0,0.0,376.0,546.0,31,0,0,0,0,22,0,58,0,0
5861,47.0,440.0,231.0,58.0,0.0,202009010500,202009010600,278.0,0.0,498.0,776.0,36,0,0,0,0,29,0,56,0,0
