,Wind Onshore,startTime,totalRenewable,total,percentRenewable
400,26.0,202001171600,26.0,1266.0,2
401,26.0,202001171700,26.0,1323.0,2
402,26.0,202001171800,26.0,990.0,3
403,26.0,202001171900,26.0,745.0,3
404,25.0,202001172000,25.0,568.0,4
405,26.0,202001172100,26.0,389.0,7
406,26.0,202001172200,26.0,272.0,10
407,26.0,202001172300,26.0,230.0,11
408,23.0,202001180000,23.0,228.0,10
409,27.0,202001180100,27.0,229.0,12
410,21.0,202001180200,21.0,223.0,9
411,23.0,202001180300,23.0,223.0,10
412,20.0,202001180400,20.0,313.0,6
413,24.0,202001180500,24.0,584.0,4
414,25.0,202001180600,25.0,625.0,4
415,25.0,202001180700,25.0,1005.0,2
416,24.0,202001180800,24.0,1005.0,2
417,28.0,202001180900,28.0,1008.0,3
418,28.0,202001181000,28.0,1008.0,3
419,31.0,202001181100,31.0,1012.0,3
420,34.0,202001181200,34.0,1014.0,3
421,35.0,202001181300,35.0,1014.0,3
422,36.0,202001181400,36.0,1018.0,4
423,27.0,202001181500,27.0,1010.0,3
424,27.0,202001181600,27.0,1006.0,3
425,25.0,202001181700,25.0,1004.0,2
426,29.0,202001181800,29.0,1006.0,3
427,27.0,202001181900,27.0,1000.0,3
428,24.0,202001182000,24.0,869.0,3
429,22.0,202001182100,22.0,543.0,4
430,21.0,202001182200,21.0,342.0,6
431,47.0,202001182300,47.0,249.0,19
432,47.0,202001190000,47.0,248.0,19
433,45.0,202001190100,45.0,244.0,18
434,45.0,202001190200,45.0,243.0,19
435,44.0,202001190300,44.0,243.0,18
436,41.0,202001190400,41.0,334.0,12
437,33.0,202001190500,33.0,419.0,8
438,26.0,202001190600,26.0,574.0,5
439,21.0,202001190700,21.0,795.0,3
440,17.0,202001190800,17.0,1072.0,2
441,13.0,202001190900,13.0,1119.0,1
442,12.0,202001191000,12.0,1118.0,1
443,12.0,202001191100,12.0,1118.0,1
444,12.0,202001191200,12.0,1117.0,1
445,11.0,202001191300,11.0,1116.0,1
446,11.0,202001191400,11.0,1119.0,1
447,12.0,202001191500,12.0,1120.0,1
448,12.0,202001191600,12.0,1070.0,1
449,13.0,202001191700,13.0,1119.0,1
450,14.0,202001191800,14.0,1021.0,1
451,14.0,202001191900,14.0,875.0,2
452,15.0,202001192000,15.0,853.0,2
453,15.0,202001192100,15.0,759.0,2
454,14.0,202001192200,14.0,238.0,6
455,15.0,202001192300,15.0,218.0,7
456,16.0,202001200000,16.0,219.0,7
457,19.0,202001200100,19.0,222.0,9
458,20.0,202001200200,20.0,222.0,9
459,19.0,202001200300,19.0,221.0,9
460,19.0,202001200400,19.0,643.0,3
461,20.0,202001200500,20.0,1047.0,2
462,21.0,202001200600,21.0,1271.0,2
463,26.0,202001200700,26.0,1257.0,2
464,27.0,202001200800,27.0,1338.0,2
465,30.0,202001200900,30.0,1542.0,2
466,39.0,202001201000,39.0,1550.0,3
467,44.0,202001201100,44.0,1439.0,3
468,44.0,202001201200,44.0,1432.0,3
469,43.0,202001201300,43.0,1320.0,3
470,41.0,202001201400,41.0,1321.0,3
471,42.0,202001201500,42.0,1431.0,3
472,41.0,202001201600,41.0,1430.0,3
473,43.0,202001201700,43.0,1297.0,3
474,44.0,202001201800,44.0,932.0,5
475,43.0,202001201900,43.0,857.0,5
476,43.0,202001202000,43.0,577.0,7
477,44.0,202001202100,44.0,487.0,9
478,44.0,202001202200,44.0,386.0,11
479,48.0,202001202300,48.0,246.0,20
480,50.0,202001210000,50.0,244.0,20
481,50.0,202001210100,50.0,248.0,20
482,52.0,202001210200,52.0,250.0,21
