,Solar,startTime,totalRenewable,total,percentRenewable
25558,0.0,202211302200,0.0,10099.0,0
25559,0.0,202211302300,0.0,9626.0,0
25560,0.0,202212010000,0.0,8492.0,0
25561,0.0,202212010100,0.0,8490.0,0
25562,0.0,202212010200,0.0,8493.0,0
25563,0.0,202212010300,0.0,8494.0,0
25564,0.0,202212010400,0.0,9009.0,0
25565,0.0,202212010500,0.0,10504.0,0
25566,7.0,202212010600,7.0,10646.0,0
25567,67.0,202212010700,67.0,11049.0,1
25568,183.0,202212010800,183.0,11114.0,2
25569,326.0,202212010900,326.0,11104.0,3
25570,425.0,202212011000,425.0,11118.0,4
25571,412.0,202212011100,412.0,10993.0,4
25572,328.0,202212011200,328.0,10997.0,3
25573,204.0,202212011300,204.0,10979.0,2
25574,57.0,202212011400,57.0,10932.0,1
25575,5.0,202212011500,5.0,11113.0,0
25576,0.0,202212011600,0.0,10909.0,0
25577,0.0,202212011700,0.0,10767.0,0
25578,0.0,202212011800,0.0,10852.0,0
25579,0.0,202212011900,0.0,10932.0,0
25580,0.0,202212012000,0.0,10872.0,0
25581,0.0,202212012100,0.0,10861.0,0
25582,0.0,202212012200,0.0,10167.0,0
25583,0.0,202212012300,0.0,9791.0,0
25584,0.0,202212020000,0.0,9367.0,0
25585,0.0,202212020100,0.0,8749.0,0
25586,0.0,202212020200,0.0,8760.0,0
25587,0.0,202212020300,0.0,8787.0,0
25588,0.0,202212020400,0.0,10149.0,0
25589,0.0,202212020500,0.0,10631.0,0
25590,7.0,202212020600,7.0,10887.0,0
25591,62.0,202212020700,62.0,11391.0,1
25592,151.0,202212020800,151.0,11508.0,1
25593,215.0,202212020900,215.0,11405.0,2
25594,238.0,202212021000,238.0,11340.0,2
25595,195.0,202212021100,195.0,10978.0,2
25596,96.0,202212021200,96.0,10856.0,1
25597,41.0,202212021300,41.0,10818.0,0
25598,13.0,202212021400,13.0,10530.0,0
25599,3.0,202212021500,3.0,10784.0,0
25600,0.0,202212021600,0.0,10832.0,0
25601,0.0,202212021700,0.0,10814.0,0
25602,0.0,202212021800,0.0,10827.0,0
25603,0.0,202212021900,0.0,10758.0,0
25604,0.0,202212022000,0.0,10774.0,0
25605,0.0,202212022100,0.0,10126.0,0
25606,0.0,202212022200,0.0,9904.0,0
25607,0.0,202212022300,0.0,42.0,0
25608,0.0,202212030000,0.0,39.0,0
25609,0.0,202212030100,0.0,38.0,0
25610,0.0,202212030200,0.0,38.0,0
25611,0.0,202212030300,0.0,30.0,0
25612,0.0,202212030400,0.0,32.0,0
25613,0.0,202212030500,0.0,33.0,0
25614,3.0,202212030600,3.0,37.0,8
25615,17.0,202212030700,17.0,38.0,45
25616,46.0,202212030800,46.0,77.0,60
25617,83.0,202212030900,83.0,117.0,71
25618,107.0,202212031000,107.0,140.0,76
25619,106.0,202212031100,106.0,127.0,83
25620,46.0,202212031200,46.0,73.0,63
25621,15.0,202212031300,15.0,50.0,30
25622,5.0,202212031400,5.0,54.0,9
25623,1.0,202212031500,1.0,61.0,2
25624,0.0,202212031600,0.0,77.0,0
25625,0.0,202212031700,0.0,88.0,0
25626,0.0,202212031800,0.0,99.0,0
25627,0.0,202212031900,0.0,108.0,0
25628,0.0,202212032000,0.0,115.0,0
25629,0.0,202212032100,0.0,123.0,0
25630,0.0,202212032200,0.0,129.0,0
25631,0.0,202212032300,0.0,10010.0,0
25632,0.0,202212040000,0.0,9684.0,0
25633,0.0,202212040100,0.0,9387.0,0
25634,0.0,202212040200,0.0,8904.0,0
25635,0.0,202212040300,0.0,8897.0,0
25636,0.0,202212040400,0.0,8926.0,0
25637,0.0,202212040500,0.0,8956.0,0
25638,7.0,202212040600,7.0,9261.0,0
25639,47.0,202212040700,47.0,10098.0,0
25640,119.0,202212040800,119.0,10178.0,1
25641,193.0,202212040900,193.0,10228.0,2
25642,239.0,202212041000,239.0,10350.0,2
25643,238.0,202212041100,238.0,10307.0,2
25644,202.0,202212041200,202.0,10232.0,2
25645,94.0,202212041300,94.0,10133.0,1
25646,31.0,202212041400,31.0,10119.0,0
25647,4.0,202212041500,4.0,10106.0,0
25648,0.0,202212041600,0.0,10122.0,0
25649,0.0,202212041700,0.0,10226.0,0
25650,0.0,202212041800,0.0,10235.0,0
25651,0.0,202212041900,0.0,10152.0,0
25652,0.0,202212042000,0.0,10055.0,0
25653,0.0,202212042100,0.0,10042.0,0
25654,0.0,202212042200,0.0,10039.0,0
25655,0.0,202212042300,0.0,9757.0,0
25656,0.0,202212050000,0.0,9698.0,0
25657,0.0,202212050100,0.0,9414.0,0
25658,0.0,202212050200,0.0,9346.0,0
25659,0.0,202212050300,0.0,9013.0,0
25660,0.0,202212050400,0.0,10233.0,0
25661,0.0,202212050500,0.0,10567.0,0
25662,4.0,202212050600,4.0,11063.0,0
25663,23.0,202212050700,23.0,11733.0,0
25664,56.0,202212050800,56.0,11619.0,0
25665,90.0,202212050900,90.0,11338.0,1
25666,108.0,202212051000,108.0,11349.0,1
25667,93.0,202212051100,93.0,11330.0,1
25668,69.0,202212051200,69.0,11238.0,1
25669,27.0,202212051300,27.0,11417.0,0
25670,12.0,202212051400,12.0,11453.0,0
25671,3.0,202212051500,3.0,11403.0,0
25672,0.0,202212051600,0.0,11450.0,0
25673,0.0,202212051700,0.0,11315.0,0
25674,0.0,202212051800,0.0,11225.0,0
25675,0.0,202212051900,0.0,11164.0,0
25676,0.0,202212052000,0.0,10961.0,0
25677,0.0,202212052100,0.0,10272.0,0
25678,0.0,202212052200,0.0,10056.0,0
