group_id,Solar,Wind Offshore,Wind Onshore,totalRenewable,startTime,total,percentRenewable
275,7355.0,5398.25,25853.0,38606.25,202001121100,80540.0,48
276,6476.0,5235.0,26131.75,37842.75,202001121200,78333.0,48
277,4424.0,4967.25,26732.5,36123.75,202001121300,75255.0,48
278,1985.5,4688.5,27519.75,34193.75,202001121400,72589.0,47
279,252.5,4588.75,28246.5,33087.75,202001121500,72918.0,45
280,0.0,4494.75,28398.25,32893.0,202001121600,75039.0,44
281,0.0,4461.0,28126.25,32587.25,202001121700,75757.0,43
282,0.0,4571.0,27485.5,32056.5,202001121800,74533.0,43
283,0.0,4562.0,26527.5,31089.5,202001121900,72030.0,43
284,0.0,4445.0,25383.75,29828.75,202001122000,69665.0,43
285,0.0,4295.75,23636.5,27932.25,202001122100,67453.0,41
286,0.0,4126.5,21807.25,25933.75,202001122200,64399.0,40
287,0.0,4737.0,22465.5,27202.5,202001122300,60710.0,45
288,0.0,4231.5,20125.75,24357.25,202001130000,58870.0,41
289,0.0,3800.25,17984.25,21784.5,202001130100,56159.0,39
290,0.0,3424.5,15986.25,19410.75,202001130200,54527.0,36
291,0.0,3335.5,14168.5,17504.0,202001130300,54975.0,32
292,0.0,3495.5,12981.25,16476.75,202001130400,57587.0,29
293,0.0,3530.25,12274.0,15804.25,202001130500,62636.0,25
294,0.0,3602.0,11736.0,15338.0,202001130600,68369.0,22
295,191.25,3179.75,11731.0,15102.0,202001130700,71400.0,21
296,1280.75,3762.75,11113.0,16156.5,202001130800,72420.0,22
297,2818.5,3901.5,10679.0,17399.0,202001130900,74010.0,24
298,4088.75,4031.75,10159.0,18279.5,202001131000,73735.0,25
299,4705.0,4270.5,9675.5,18651.0,202001131100,73586.0,25
300,4456.25,4597.25,8991.75,18045.25,202001131200,72373.0,25
301,3307.5,4844.75,8381.0,16533.25,202001131300,69732.0,24
302,1510.0,5031.5,8357.75,14899.25,202001131400,68413.0,22
303,186.25,5142.25,9492.75,14821.25,202001131500,68678.0,22
304,0.0,5216.25,11729.75,16946.0,202001131600,73053.0,23
305,0.0,5328.75,14384.75,19713.5,202001131700,75175.0,26
306,0.0,5419.5,16859.75,22279.25,202001131800,75637.0,29
307,0.0,5461.0,18829.25,24290.25,202001131900,73850.0,33
308,0.0,5461.25,20678.0,26139.25,202001132000,71443.0,37
309,0.0,5550.5,22332.75,27883.25,202001132100,69978.0,40
310,0.0,5628.0,24075.5,29703.5,202001132200,69622.0,43
311,0.0,5240.5,27129.5,32370.0,202001132300,67900.0,48
312,0.0,5370.0,28881.5,34251.5,202001140000,68122.0,50
313,0.0,5468.5,30574.5,36043.0,202001140100,69038.0,52
314,0.0,5547.0,32032.25,37579.25,202001140200,69810.0,54
315,0.0,5558.5,33234.5,38793.0,202001140300,71331.0,54
316,0.0,5555.75,34057.0,39612.75,202001140400,74353.0,53
317,0.0,5413.75,34831.75,40245.5,202001140500,80511.0,50
318,0.0,5446.5,34992.25,40438.75,202001140600,85130.0,48
319,416.75,5197.0,34849.0,40462.75,202001140700,88312.0,46
320,2261.5,5232.25,34319.75,41813.5,202001140800,88821.0,47
321,4361.75,5366.5,33432.25,43160.5,202001140900,89203.0,48
322,5785.75,5361.5,32167.75,43315.0,202001141000,89475.0,48
323,6241.5,5386.5,30830.5,42458.5,202001141100,88371.0,48
